Original Order,Year,Event Type,Game System,Game ID,Title,Long Description,GM Names,Total Rounds,Experience Required,Cost $,Location,Also Runs,Start Date & Time,Short Description,Minimum Players,Prize,Rulex Complexity,Rules Edition,Age Required,End Date & Time,Group,Maximum Players,Materials Provided,Duration,Website,Email,Tournament?,Round Number,Minimum Play Time,Attendee Registration?,Room Name,Table Number,Special Category,Tickets Available,Last Modified
290,1990,ROLE-PLAYING GAME,"AD&D Game by TSR, Inc.",400000,Where Are We Now?,"This is the one that started it all 3 years ago. Stranded by an unknown force, you’re on an island. Great evil can be felt all around. Someone is out there and his intentions are unknown.",Ken Leyhe,1,S,2,"E307, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
291,1990,ROLE-PLAYING GAME,ARS MAGICA by Lion Rampant Games,400394,Winter On A Mountaintop,"Doalmar is dying, the most powerful covenant on the face of the earth is grinding to a halt. Age has caught up with Doalmar. Only you can turn winter to spring & make Doalmar thrive again.",Daniel Fritter,1,I,2,"K46, Kilbourn",6,,,,,,,,,,,,,,,,,,,,,,,
292,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400330,Call Of Cthulhu Masters Tourny,Journey from the sewers of Arkham through an epoch millions of years ago to the horrors of W.W.IL A terrifying tournament sponsored by Chaosium Inc. The winner gets the covers Migo Braincase.,"Chaosium, Inc.",3,S,FREE,"E211, E. Game Hall Location: E512, E. Game Hall","05, 06 Semi Final: 09,10 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
293,1990,ROLE-PLAYING GAME,CALL OF CTHULHU Game by Chaosium,400283,Brekkar's Farm,"Autumn Nights, Bone-chilling winds, rustling leaves & an old farm. Something on those rural acres may be older than you can imagine.",Mark Hansen,2,I,2,"E104, E. Game Hall",06 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
294,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400386,Enemy Within,"Chicago’s protectors are launched into a strange world—but so is their arch-nemesis, the machination! Characters provided. Roleplaying a must.",Craig Stodolenar,2,I,2,"K50, Kilbourn Final: 11",,,,,,,,,,,,,,,,,,,,,,,,
295,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400245,"Enforcers II, Old Flames",The Enforcers receive a mysterious warning of an impending doom from their past that threatens one of the team. But which one and what is the threat? Characters provided.,Terry O'Brien ,2,I,2,"E613, E. Game Hall","04, 07, 08 Final: 10",,,,,,,,,,,,,,,,,,,,,,,
296,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400273,Map Of The World,"Adventure in the world of international politics! A UN team of wild talents must deal with it’s first major challenge—a Nation facing Civil War. Role-playing vital. ICE sponsored, 4th edition.",Ronald Green,2,I,2,"E709, E. Game Hall","06, 07, 10, 11 Final 14",,,,,,,,,,,,,,,,,,,,,,,
297,1990,ROLE-PLAYING GAME,CHAMPIONS Game by Iron Crown,400152,The Aquisition,Prof. Phineas Morton wants to come over to Technodyne and you’ve been volunteered to do the job. The CEO has given you the job because you’re perfect for it. You’re expendable!,Glen Murie,1,I,2,"K61, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
298,1990,ROLE-PLAYING GAME,DANGER INTERNATIONAL by Iron Crown,400101,Who Laughs...,"You are the watchers. The Comedian is out of control, assassinating political figures that are unfriendly to the U.S. Your job is to stop him before he strikes again. Watchers #3",Kevin Johnson,1,S,2,"E302, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
299,1990,ROLE-PLAYING GAME,"DAWN PATROL Game by TSR, Inc. ",400177,Paris Must Be Saved,"Despite poor weather, only the Air Force can locate the big guns that are bombarding Paris. WWI air combat using TSR’s DAWN PATROL game.",Alan Christensen,1,I,2,"E207, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
300,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400195,"Drazzi Disaster, Super Secret","When reports of a mysterious aura around the great geyser known as the Time Keeper, begin to surface. The Element Masters are called in to investigate. A new scenario sponsored by the EVPA. Open to all.",Llyod Montgomery,1,N,2,"E113, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
301,1990,ROLE-PLAYING GAME,ELEMENT MASTERS by Escape Ventures,400198,You Want Dragon Dung!,"Only the bravest Vinyans, with a subdued sense of smell, are asked to go on a special mission. Are your RPG skills adequate to tackle, the deadliest monsters in gaming? By the EVPA, open to all.",Craig Enslin,1,N,2,"E206, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
302,1990,ROLE-PLAYING GAME,GURPS by Steve Jackson Games,400190,Gurps Space,Advanced recon for a planetary assault!,Bill Finnegan,1,S,2,"E306, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
303,1990,ROLE-PLAYING GAME,GURPS by Steve Jackson Games,400010,"The Taking Of Pellam 1,2,3","You and your newly formed band of adventurers have been hired by the town council to assassinate the evil sorcerer Pellam. Easy as 1,2,3. Right? A MarkCon event.",Mark Hawthorne,1,S,2,"E407, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
304,1990,ROLE-PLAYING GAME,HAWKMOON by Chaosium,400329,Gimme A Minute!,The adventurers have only days to foil a diabolic plan to eliminate Londra from the heart of Granbretan. An event sponsored by Chaosium. Bring your Hawkmoon or Lawful Stormbringer characters.,"Chaosium, Inc.",1,I,FREE,"ED8, E. Game Hall",7,,,,,,,,,,,,,,,,,,,,,,,
305,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400180,Jessie Quest,"Jessup has gone missing. You, her friends companions and assorted others are looking for her The question is, does she want to be found?",Sherry Dees,2,I,2,"E507, E. Game Hall Location: E607, E. Game Hall Final: 10",,,,,,,,,,,,,,,,,,,,,,,,
306,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400044,It's A Small World,"Learn the Hero System with the Ultra Force, an international superhero team. You only need to bring the accents! Brian and Susan Grau host this official event. Roleplaying and fun stressed.",Susan Grau,1,N,2,"E203, E. Game Hall Location: E112, E. Game Hall",6,,,,,,,,,,,,,,,,,,,,,,,
307,1990,ROLE-PLAYING GAME,HERO GAME by Iron Crown Enterprises,400183,The Pirates Plunder,"What do a robbery, a ghost and a boat have in common? All add up to world-hopping adventure and excitement. So join the adventure. Six players, all levels welcome.",Robert O'Neal,1,N,2,"E312, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
308,1990,ROLE-PLAYING GAME,HOME RULES,400155,Free Style Role Playing,"Lets play a game where there are no rules. Create a character on the spot and roleplay till we drop. Paper & Pens optional, dice are necessary, your imagination is mandatory.",David Cave,1,S,2,"E513, E. Game Hall",4,,,,,,,,,,,,,,,,,,,,,,,
309,1990,ROLE-PLAYING GAME,JUSTICE INC. Game by Iron Crown,400080,The Bogus Bonbons,"A Doc Savage Adventure. May,1934. Can the Fabulous Five unravel the evil plot and stop its cruel completion without Doc’s help? Roleplaying in the spirit of the supersaga’s stressed.",Christopher Breen,2,I,2,"E309, E. Game Hall",06 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
310,1990,ROLE-PLAYING GAME,LIVING STEEL by Leading Edge,400421,Lasers And Luck,"Two sci-fi RPGs are explained & played. Star Wars and Living Steel are set in the far space-faring future. Living Steel is complex, Star Wars much simpler. In both, characters are the heroes.",Warren Dimock,1,N,2,"K37, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
311,1990,ROLE-PLAYING GAME,MEGATRAVELLER by GDW,400076,Crimson Unicorn.,It’s back to school for Duke Noris Elite Naval Intelligence Team. You must discover who is leaking vital information—from within Deneb Naval Intelligence School! Dangerous undercover action.,Robert Mason,1,S,2,"E202, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
312,1990,ROLE-PLAYING GAME,MIDWORLD by Neon Milkmen,400097,Midworld,New Game soon to be published. Fantasy game using no Earth creatures or mythological creatures. Contains. Very unique character races.,Chares Hahr,1,N,2,"E612, E. Game Hall",4,,,,,,,,,,,,,,,,,,,,,,,
313,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400064,Scitzo-Paranoia,"Yes, and more! Included free of charge, buzzsaws, Ginsu Knives, fuzzydice, Photon Torpedoes on a yellow Yugo, Blue Meanies—and that’s not all... We’d love to tell you more but we have no r.",Jeff Banas,2,I,2,"E504, E. Game Hall",07 Final: 11,,,,,,,,,,,,,,,,,,,,,,,
314,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400174,The B-RDY Clones,"The Computer wants,YOU to protect it from the insidious invasion of an elite unit of Earth mothers called, the Typical American Family. Confused neophytes & bloodthirsty veterans.",David Graf,1,I,2,"E412, E. Game Hall","08, 10",,,,,,,,,,,,,,,,,,,,,,,
315,1990,ROLE-PLAYING GAME,PARANOIA Game by West End Games,400032,Heav-y-Mtl Daze,"There’s trouble in ORK sector. The computer needs you, troubleshooter, to stop this menace. Can you save Alpha complex from this commie plot? By the way, the Computer LIVES!",Walter Spafford,1,I,2,"E204, E. Game Hall",7,,,,,,,,,,,,,,,,,,,,,,,
316,1990,ROLE-PLAYING GAME,"RAVENLOFT Game by TSR, Inc.",400299,Feast of Goblyns,A sneak preview of the first module in TSR’s exciting new line of Gothic Horror AD&D adventures.,"TSR, Inc.",1,N,2,"E609, E. Game Hall",11,,,,,,,,,,,,,,,,,,,,,,,
317,1990,ROLE-PLAYING GAME,REALMS OF MYTH by Stormhawk,400408,Dark Moon Rising,Merc’s turned brigands plot revenge against all and Lord Belgrathe holds court while dark priests divide his estate. Come expose the dark plot and defeat the merc!s before it’s too late! char.supp.,Stephen Wahl,1,N,2,"K53, Kilbourn","C04A,05B, C06, 10, C11A",,,,,,,,,,,,,,,,,,,,,,,
318,1990,ROLE-PLAYING GAME,STAR TREK Game by FASA,400093,The King Lives,An Alien Plague. A Fungal concentrate. Anton storm A Metal Asteroid. A derelict Ship. A dead civilization. These elements combine for a rebirth beyond the worst nightmares of the Excalibur Crew.,Jordan Orzoff,1,N,2,"E514, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
319,1990,ROLE-PLAYING GAME,STORMBRINGER Game by Chaosium,400132,Lunch of Champions,"Yog Sothoth is threatening the Universe & Jherek Carnelian, lllian of Garathrom, Ulrich Von Bek & five other Eternal Champions have between lunch & tea time to stop him!",Cliff Winnig,1,I,2,"E502, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
320,1990,ROLE-PLAYING GAME,TALISLANTA by Bard Games,400420,Fantastic Fantasies,"Two Fantasy RPGs are explained & played. Talislanta details better than 80 different races & gives a drawing of each. Palladium is an easy to run, yet well detailed system.",Gwendolyn Kestrel,1,N,2,"K42, Kilbourn",,,,,,,,,,,,,,,,,,,,,,,,
321,1990,ROLE-PLAYING GAME,TEENAGERS—OUTER SPACE by R. Talsorian,400264,Too Strange to Live,"What happens to the alien exchange students who aren’t curvy or cuddly? And how can you tell them, from environmental disasters.",R Talsorian Games,1,N,2,"ED3, E. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
322,1990,ROLE-PLAYING GAME,TEKUMEL Game Rules,400452,Chochin Of The Isles,Livyanu has been bogged down in a war in the Tsalei Isles for years. Now the Islanders want to parley with the allies of the Livyani—you. Are you ready to conclude peace... or join the war?,Victor Raymond,1,I,2,"K47, Kilbourn",12,,,,,,,,,,,,,,,,,,,,,,,
323,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450000,AD&D Game Open,"“No King Without A Crown” by Tom Prusa. To save a nation, a daring band of heroes must make certain a royal wedding is held in the Forgotten Realms. OPEN TO ALL. Members receive Standard XP. Bob Blake",RPGA Network HQ,3,I,3,"ADD, Atrium NW","04, 06, 07, 08, 09 Semi Final: 10,11 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
324,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450004,AD&D Game Special,"“To Cage A King” by A. Karl Larsen and Joseph G. Wichmann. Malevolent power spreads across the continent, threatening all life and the very land. Std. XP.",RPGA Network HQ,3,I,3,"BG-E, Bruce Hall","06, 09 Semi Final: 10,11 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
325,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450001,AD&D Game Grand Masters,"“Seeds Of Destruction” by Rich Lipman. An evil wizard’s power is growing unchecked. If the Hillside Six don’t stop him soon, the world will be his. MEMBERS ONLY—5th LEVEL & UP. 4 x Std. XP.",RPGA Network HQ,2,S,3,"BG-C, Bruce Hall","06, 11 Final: 13",,,,,,,,,,,,,,,,,,,,,,,
326,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450011,AD&D Game Benefit for Okada,“The Jade Monkey” by Carl Buehler and Michael Weaver. You must face a mounting magical mystery and an irrascible enchanted pig or all is lost. Proceeds to the Okada Hearing Dog Program.,RPGA Network HQ,1,I,5,"BG-D, Bruce Hall","07, 08, 10, 11, 13",,,,,,,,,,,,,,,,,,,,,,,
327,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450013,AD&D Game Living City,"“Nightwatch” by Walter Baas & Kira Glass. When the fog rolls in, so does danger. And the city’s nightwatch must handle it. MEMBERS ONLY. Players must use their own characters. Std. XP.",RPGA Network HQ,1,I,2,"BG-B, Bruce Hall","07, 10, 12,13",,,,,,,,,,,,,,,,,,,,,,,
328,1990,RPGA NETWORK SANCTIONED EVENT,CALL OF CTHULHU Game by Chaosium,450034,CALL OF CTHULHU,“The Beast” by Robert Jones. A team of investigators is sent to a ruins near Uxmal. They are the second string—the first group never returned. 1920s action. MEMBERS ONLY. Standard XP.,RPGA Network HQ,1,I,2,"BG-I, Bruce Hall","06, 10",,,,,,,,,,,,,,,,,,,,,,,
329,1990,RPGA NETWORK SANCTIONED EVENT,CHAMPIONS Game by Iron Crown,450028,CHAMPIONS,“To Fight The Good Fight” by Chad Brinkley and Bob Bell. Sometimes super powers are not enough to overcome ruthless foes who will stop at nothing to win. Std. XP.,RPGA Network HQ,2,I,2,"BG-L, Bruce Hall","06, 09 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
330,1990,RPGA NETWORK SANCTIONED EVENT,DC HEROES by Mayfair Games,450033,DC HEROES,"“The Diogenes Conspiracy” by John Terra. As a member of the Doom Patrol, you must assemble all your courage and wits to face a menace to freedom and life! Standard XP.",RPGA Network HQ,2,I,2,"BG-K, Bruce Hall",07 Final: 10,,,,,,,,,,,,,,,,,,,,,,,
331,1990,RPGA NETWORK SANCTIONED EVENT,MEGATRAVELLER by GDW,450027,MEGATRAVELLER,"“Antares Down” by Digest Group Publications. Play MegaTraveller at its finest where the action is deadly, the pace is fast, and the rewards are enticing. OPEN TO ALL. Members receive Std. XP.",RPGA Network HQ,1,I,2,"BG-J, Bruce Hall",6,,,,,,,,,,,,,,,,,,,,,,,
332,1990,RPGA NETWORK SANCTIONED EVENT,SPACE: 1889 by Game Designers' Workshop,450024,SPACE 1889,"“The Tears Of Seldon” by Julia Martin. You must research “The Tharsis Fragment,” a scrap of paper that could lead to the tomb of a long-dead emperor—and riches and fame untold. OPEN TO ALL. Std. XP.",RPGA Network HQ,1,I,2,"BG-O, Bruce Hall","06, 11",,,,,,,,,,,,,,,,,,,,,,,
333,1990,RPGA NETWORK SANCTIONED EVENT,"SPELLJAMMER Campaign by TSR, Inc.",450014,AD&D Game SPELLJAMMER,“The Unsung Fantastic and Perilous Expedition of Ironhelm Jones’ Rock Bottom Dwarven Mining Company’” by Jean Rabe. OPEN TO ALL. Network members receive standard experience points.,RPGA Network HQ,1,I,2,"BG-G, Bruce Hall","09, 11",,,,,,,,,,,,,,,,,,,,,,,
334,1990,RPGA NETWORK SANCTIONED EVENT,"TOP SECRET/S.I. Game by TSR, Inc. ",450017,TOP SECRET/SI Game Feature,"“Operation Long Bullet” by Roger Anderson. Orion agents are sent on a dangerous covert mission. If successful, they’ll be rewarded. If not, they're dead. Std. XP.",RPGA Network HQ,2,I,2,"BG-M, Bruce Hall",07 Final: 09,,,,,,,,,,,,,,,,,,,,,,,
335,1990,STRATEGIC B0ARDGAME,BATTLETECH by FASA,200000,When Lightning Strikes,"Elements of the elite 5th Sword of Light attempt a lightning raid on the world of Formalhaut. Mission to find and destroy a hidden Davion facility. Two teams of four compete. Miniatures, very visual!",Rae McIntosh,1,S,2,"W124, W. Game Hall","06, 07",,,,,,,,,,,,,,,,,,,,,,,
336,1990,STRATEGIC B0ARDGAME,BRITANNIA by Avalon Hill,200043,Brittania,4 players strive to become King of England during the period 45ad to 1085ad. From the Roman conquest to William the Conqueror. Winners in the 1st. round will advance to the finals.,Stephen Green,2,I,2,"W310, W. Game Hall Final: 04",,,,,,,,,,,,,,,,,,,,,,,,
337,1990,STRATEGIC B0ARDGAME,CIRCUS MAXIMUS RULES by Avalon Hill,200032,Circus Maximus ,Attend a day at the Chariot races. Play the game of Roman Chariot Racing. Charioteers will use detailed set up allowing great flexibility.,John Hagen,2,I,2,"W407, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
338,1990,STRATEGIC B0ARDGAME,CIVILIZATION by Avalon Hill,200028,Civilization,Show how civilized you are in this two round tourney. The first round is a 4 hr. short session with an 8 hr. final for the top 3 players in this Avalon Hill strategy game.,Linda Smith,2,I,2,"W415B, W. Game Hall",06 Final: 09,,,,,,,,,,,,,,,,,,,,,,,
339,1990,STRATEGIC B0ARDGAME,DEMONSTRATION,200067,Introduction To Car Wars,"The award-winning game of the freeways of the future, where the right of way goes to the biggest guns. A grid system allows realistic movement, with options that feature role playing.",Steve Jackson Games,Demo,N,FREE,"W109, W. Game Hall","07, 10B, C11A.13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
340,1990,STRATEGIC B0ARDGAME,EMPIRE BUILDER by Mayfair Games,200059,Empire Builder w/Int'l. Variant,Play Empire Builder over all of North America by adding the South of the border spice to the game. Exercise your knowledge of Great Britain in British Rails. Even Build the rails of India!,Darwin Bromley,1,I,2,"W113A, W. Game Hall Location: W113B, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
341,1990,STRATEGIC B0ARDGAME,KREMLIN by Avalon Hill,200008,KREMLIN  ,"Politics Russian style. Exert your influence over politburo members. Push your men to the top by scheming, purges or whatever deal you can cut. A fast simple, but demanding fun game among comrades",John Butitta,1,N,2,"W312, W. Game Hall",,,,,,,,,,,,,,,,,,,,,,,,
342,1990,STRATEGIC B0ARDGAME,NAVAL WAR Card Game by Avalon Hill,200045,Naval War,Naval battles with cards. Are you better than Yamamoto and Hulsy?,Nathan Green,2,N,2,"W103, W. Game Hall Final: 04",,,,,,,,,,,,,,,,,,,,,,,,
343,1990,STRATEGIC B0ARDGAME,TALISMAN by Games Workshop,200038,Talisman-Alignment Wars,"Players compete as members of teams of good, neutral and evil alignment. Battling to seize the Crown of Command to rule the Magic Lands. 2 round tourney with team advancement.",Jeff Schreiber,2,I,2,"W117B, W. Game Hall",05 Final: 07,,,,,,,,,,,,,,,,,,,,,,,
344,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase  ,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","03B, 04A, 04B, 05B, 06A, 06B, 07A, 07B, 08A, 08B,09A",,,,,,,,,,,,,,,,,,,,,,,
345,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","03B, 04A, 04B, 05A, 05B, 06A, 06B, 07A, 07B, 08A, 08B",,,,,,,,,,,,,,,,,,,,,,,
346,1990,COMPUTER GAMING,MIDI MAZE Computer Game,600015,Midi Maze Tournament,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","03B, 04A, 05A, 05B, 06B, 07A, 07B, 08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
347,1990,COMPUTER GAMING,OVERRUN by SSI,600014,Overrun,You are in command in this simulation of modern tactical armored combat.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2",,,,,,,,,,,,,,,,,,,,,,,,
348,1990,COMPUTER GAMING,TETRIS by Spectrum Holobyte,600016,Tetris,"It’s time to Tetrisise! A two-round tourney for those who like arranging falling shapes into complete lines. It’s simple, its fun!",Milwaukee Area Commodore Enthusiast,2,N,2,"CGA, W. Hall FI. 2","08B, 11B Final: 13B",,,,,,,,,,,,,,,,,,,,,,,
349,1990,FAMILY/COMMERICAL GAMING,DEMONSTRATION,100009,FANTASY FOREST Game Demo,"Come see the new version of a child’s first fantasy adventure, featuring characters from the D&D Cartoon Show! Great for parents to watch or play—perfect for kids, ages 4-8!","TSR, Inc.",Demo,N,FREE,"TSRDEM02, Great Hall",14B,,,,,,,,,,,,,,,,,,,,,,,
350,1990,FAMILY/COMMERICAL GAMING,DEMONSTRATION,100013,The GREAT KHAN Game Demo,"Join the political intrigue and power struggles in a far corner of the Forgotten Realms! The GREAT KHAN game is a humorous card game which allows you to fight, connive and coerce your way to power.","TSR, Inc.",Demo,N,FREE,"TSRDEM01, Great Hall","06B, 07A, 13B",,,,,,,,,,,,,,,,,,,,,,,
351,1990,FAMILY/COMMERICAL GAMING,"MAGE STONES Game by TSR, Inc.",100011,MAGE STONES Game Tourney,Master the Pattern of the Mage Stones in this easy exciting game from the world of Krynn. A multi round tournament in under 2 hours.,"TSR, Inc.",2,N,2,"AS, Atrium East",,,,,,,,,,,,,,,,,,,,,,,,
352,1990,MINIATURE GAMING,DEMONSTRATION,300077,RAL PARTHA Painting Contest,RAL PARTHA and TSR present our 3rd year of the AD&D 2nd Edition Miniatures Painting Contest. Show your skill with a brush & these special edition figures. You get to keep the figure!,"TSR, Inc.",Demo,N,3,"TSRPAINT, Great Hall","05B, 06B, 09B, 10B",,,,,,,,,,,,,,,,,,,,,,,
353,1990,OTHER,SEMINAR,900068,"Writing, Steve Jackson Games",A workshop for those interested in writing for Steve Jackson Games. All our writers are invited to share their experiences with their fellows and other hopefuls.,Steve Jackson Games,Sem,I,FREE,"S6,",,,,,,,,,,,,,,,,,,,,,,,,
354,1990,ROLE-PLAYING GAME,"D&D Game by TSR, Inc.",400290,D&D Game Deo Derby,National Geographic (from Alphatia) would be proud of you! Come and test your knowledge of D&D game world geography in this trivia contest. Prizes awarded to winners.,"TSR, Inc.",Sem,I,FREE,"S5, Atrium SW",,,,,,,,,,,,,,,,,,,,,,,,
355,1990,ROLE-PLAYING GAME,SEMINAR,400159,"Campaigns, Chemistry, Cosmogony","Lou and I are interested in the invisible decisions that go into Role-Playing, and the thin daggers edge between success and failure in a campaign. Come let us infect you with our ideas.",Sean Rhoades,Sem,N,FREE,"S1, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
356,1990,ROLE-PLAYING GAME,SEMINAR,400362,Designing Your Own World!,"What is really necessary to design when creating your world—and what’s not? We’ll look at geography, economics, politics, religion, history, magic, legends...and more.",John Wheeler & Peter Rice,Sem,I,4,"S3, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
357,1990,ROLE-PLAYING GAME,SEMINAR,400289,From the Editor's Desk,"Roger Moore, Dale Donovan, and Barbara Young discuss the past, present and future of DRAGON magazine & DUNGEON Adventures and tell you how you can get published and gain fame and fortune.","TSR, Inc.",Sem,I,FREE,"S2, Octagon West",,,,,,,,,,,,,,,,,,,,,,,,
358,1990,RPGA NETWORK SANCTIONED EVENT,"AD&D 2nd Edition Game by TSR, Inc.",450005,ZEF V—Rook’s Game,"The 4 heroes of the resistance traverse the slums of Hitchcock, the evil Queen Bea’s dark tower and another world in search of Nan’s true love. Play characters roleplaying other characters. Std XP.",RPGA Network HQ,3,I,3,"ZEF, Atrium E","03B, 04A, 04B, 06A, 06B Semi Final: 08 Final: 12",,,,,,,,,,,,,,,,,,,,,,,
359,1990,RPGA NETWORK SANCTIONED EVENT,SEMINAR,450038,All About The RPGA Network,"If you’ve considered joining the RPGA Network, but want to know more about it, this seminar is for you. Meet the Network staff and learn about Network activities, contests, benefits, and more!",RPGA Network HQ,Sem,N,FREE,"S4, Octagon West",09B,,,,,,,,,,,,,,,,,,,,,,,
360,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600024,Computer Showcase  ,Try the latest and greatest in Amiga and C64 computer games from our extensive library. Runs every hour on the hour. One hour playing time only! On-site ticket sales only.,Milwaukee Area Commodore Enthusiast,1,N,2,"CGA, W. Hall FI. 2","04A, 04B, 05B, 06A, 06B, 07A, 07B, 08A, 08B, 09A",,,,,,,,,,,,,,,,,,,,,,,
361,1990,COMPUTER GAMING,COMPUTER OPEN GAMING,600023,Open Gaming with Atari,Experience the latest and greatest software titles on Atari ST Computers. A ticket will allow you one hour of playing time with your choice of our software titles. Enjoy.,MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","04A, 04B, 05A, 05B, 06A, 06B, 07A, 07B, 08A,08B",,,,,,,,,,,,,,,,,,,,,,,
362,1990,MIDI MAZE Computer Game,MIDI MAZE Computer Game,600015,Midi Maze Tournament,"Back for ’90, the most popular computer game of GEN CON Game Fair! 16 players link together on terminals to play the most exciting maze game ever made! One hour time limit per ticket.",MilAtari Ltd.,1,N,2,"CGA, W. Hall FI. 2","04A, 05A, 05B, 06B, 07A, 07B, 08A, 09A, 09B, 10A, 10B",,,,,,,,,,,,,,,,,,,,,,,
363,1990,FAMILY/COMMERICAL GAMING,CARGO by V & L Games,100016,CARGO On The Great Lakes,Travel the Great Lakes as a Captain of your own cargo ship. Carefully weigh the race for financial success against the dangers inherent in seamanship. ,Richard Brown,1,N,2,"E23, Atrium East","04A, 07A",,,,,,,,,,,,,,,,,,,,,,,
364,1990,FAMILY/COMMERICAL GAMING,MONOPOLY by Parker Brothers,100014,Official MONOPOLY Tournament,Come play in an official MONOPOLY tournament. Think you’re good with money and financial plans or do you just want to try your hand at an old family favorite? Join in! Fun for everyone!,Christian Link,2,I,2,"AZ, Atrium East","05B, 07B, 09B, 11B, 13B, 14A",,,,,,,,,,,,,,,,,,,,,,,
365,1990,MINIATURE GAMING,AGE OF MARLBOROUGH by Editions Brokaw,300012,"The Battle of Barflyde, 1710","Can Marshall Villars defeat Marlborogh? They never met in combat. A hypothetical battle from the War of the Spanish Succession,1701-1714, in 15mm scale",Frederick Bultman,1,N,2,"W216, W. Game Hall","C04, 05B, C06",,,,,,,,,,,,,,,,,,,,,,,
366,1990,MINIATURE GAMING,BLUE MAX by GDW,300016,WWI Air Battles,German vs Allied Air Battle. During WWI. Aircraft will be evenly matched and a point system will be used to determine winner. Up to 24 players.,John Poskin,1,N,2,"W208, W. Game Hall","C04, 05, C06A",,,,,,,,,,,,,,,,,,,,,,,
367,1990,MINIATURE GAMING,COMMAND DECISION by GDW,300025,France 1944,The Wehrmacht launches an attack against the advancing Americans. Can the strung-out Americans survive until reinforcements arrive? Microarmor scale.,Paul Zieske,1,S,2,"W318, W. Game Hall",C04,,,,,,,,,,,,,,,,,,,,,,,
368,1990,MINIATURE GAMING,INNER CITY Role-Playing Game Rules,300103,Playin' In The Streets,"You’re down, you’re out, you’ve had it with the straight & narrow and have turned to a life of crime! Live, thrive and survive in this parody of a modern day city.",Christopher Clark,1,N,2,"W209, W. Game Hall","C04A,06B, C07A.09B, C10A,12, 13B, C14A",,,,,,,,,,,,,,,,,,,,,,,
